t_o r_p l_p r_v l_v
365396 4 5 0 0
365406 4 5 0 0
365416 4 5 0 0
365426 4 5 0 0
365436 4 5 0 0
365446 4 5 0 0
365456 4 5 0 0
365466 4 5 0 0
365476 4 5 0 0
365486 4 5 0 0
365496 4 5 0 0
365506 4 5 0 0
365516 4 5 0 0
365526 4 5 0 0
365536 4 5 0 0
365546 4 5 0 0
365556 4 5 0 0
365566 4 5 0 0
365576 4 5 0 0
365586 4 5 0 0
365596 4 5 0 0
365606 4 5 0 0
365616 4 5 0 0
365626 4 5 0 0
365636 4 5 0 0
365646 4 5 0 0
365656 4 5 0 0
365666 4 5 0 0
365676 4 5 0 0
365686 4 5 0 0
365696 4 5 0 0
365706 4 5 0 0
365716 4 5 0 0
365726 4 5 0 0
365736 4 5 0 0
365746 4 5 0 0
365756 4 5 0 0
365766 4 5 0 0
365776 4 5 0 0
365786 4 5 0 0
365796 4 5 0 0
365806 4 5 0 0
365816 4 5 0 0
365826 4 5 0 0
365836 4 5 0 0
365846 4 5 0 0
365856 4 5 0 0
365866 4 5 0 0
365876 4 5 0 0
365886 4 5 0 0
365896 4 5 0 0
365906 4 5 0 0
365916 4 5 0 0
365926 4 5 0 0
365936 4 5 0 0
365946 4 5 0 0
365956 4 5 0 0
365966 4 5 0 0
365976 4 5 0 0
365986 4 5 0 0
365996 4 5 0 0
366006 4 5 0 0
366016 4 5 0 0
366026 4 5 0 0
366036 4 5 0 0
366046 4 5 0 0
366056 4 5 0 0
366066 4 5 0 0
366076 4 5 0 0
366086 4 5 0 0
366096 4 5 0 0
366106 4 5 0 0
366116 4 5 0 0
366126 4 5 0 0
366136 4 5 0 0
366146 4 5 0 0
366156 4 5 0 0
366166 4 5 0 0
366176 4 5 0 0
366186 4 5 0 0
366196 4 5 0 0
366206 4 5 0 0
366216 4 5 0 0
366226 4 5 0 0
366236 4 5 0 0
366246 4 5 0 0
366256 4 5 0 0
366266 4 5 0 0
366276 4 5 0 0
366286 4 5 0 0
366296 4 5 0 0
366306 4 5 0 0
366316 4 5 0 0
366326 4 5 0 0
366336 4 5 0 0
366346 4 5 0 0
366357 4 5 0 0
366367 4 5 0 0
366377 4 5 0 0
366387 4 5 0 0
366397 4 5 0 0
366407 4 5 0 0
366416 4 5 0 0
366426 4 5 0 0
366436 4 5 0 0
366446 4 5 0 0
366456 4 5 0 0
366466 4 5 0 0
366476 4 5 0 0
366486 4 5 0 0
366496 4 5 0 0
366506 4 5 0 0
366516 4 5 0 0
366526 4 5 0 0
366536 4 5 0 0
366546 4 5 0 0
366556 4 5 0 0
366566 4 5 0 0
366576 4 5 0 0
366586 4 5 0 0
366596 4 5 0 0
366606 4 5 0 0
366616 4 5 0 0
366626 4 5 0 0
366636 4 5 0 0
366646 4 5 0 0
366656 4 5 0 0
366666 4 5 0 0
366676 4 5 0 0
366686 4 5 0 0
366696 4 5 0 0
366706 4 5 0 0
366716 4 5 0 0
366726 4 5 0 0
366736 4 5 0 0
366746 4 5 0 0
366756 4 5 0 0
366766 4 5 0 0
366776 4 5 0 0
366786 4 5 0 0
366796 4 5 0 0
366806 4 5 0 0
366816 4 5 0 0
366826 4 5 0 0
366836 4 5 0 0
366846 4 5 0 0
366856 4 5 0 0
366866 4 5 0 0
366876 4 5 0 0
366886 4 5 0 0
366896 4 5 0 0
366906 4 5 0 0
366916 4 5 0 0
366926 4 5 0 0
366936 4 5 0 0
366946 4 5 0 0
366956 4 5 0 0
366966 4 5 0 0
366976 4 5 0 0
366986 4 5 0 0
366996 4 5 0 0
367006 4 5 0 0
367016 4 5 0 0
367026 4 5 0 0
367036 4 5 0 0
367046 4 5 0 0
367056 4 5 0 0
367066 4 5 0 0
367076 4 5 0 0
367086 4 5 0 0
367096 4 5 0 0
367106 4 5 0 0
367116 4 5 0 0
367126 4 5 0 0
367136 4 5 0 0
367146 4 5 0 0
367156 4 5 0 0
367166 4 5 0 0
367176 4 5 0 0
367186 4 5 0 0
367196 4 5 0 0
367206 4 5 0 0
367216 4 5 0 0
367226 4 5 0 0
367236 4 5 0 0
367246 4 5 0 0
367256 4 5 0 0
367266 4 5 0 0
367276 4 5 0 0
367286 4 5 0 0
367296 4 5 0 0
367306 4 5 0 0
367316 4 5 0 0
367326 4 5 0 0
367336 4 5 0 0
367346 4 5 0 0
367356 4 5 0 0
367366 4 5 0 0
367376 4 5 0 0
367386 4 5 0 0
367396 4 5 0 0
367406 4 5 0 0
367416 4 5 0 0
367426 4 5 0 0
367436 4 5 0 0
367446 4 5 0 0
367456 4 5 0 0
367466 4 5 0 0
367476 4 5 0 0
367486 4 5 0 0
367496 4 5 0 0
367506 4 5 0 0
367516 4 5 0 0
367526 4 5 0 0
367536 4 5 0 0
367546 4 5 0 0
367556 4 5 0 0
367566 4 5 0 0
367576 4 5 0 0
367586 4 5 0 0
367596 4 5 0 0
367606 4 5 0 0
367616 4 5 0 0
367626 4 5 0 0
367636 4 5 0 0
367646 4 5 0 0
367656 4 5 0 0
367666 4 5 0 0
367676 4 5 0 0
367686 4 5 0 0
367696 4 5 0 0
367706 4 5 0 0
367716 4 5 0 0
367726 4 5 0 0
367736 4 5 0 0
367746 4 5 0 0
367756 4 5 0 0
367766 4 5 0 0
367776 4 5 0 0
367786 4 5 0 0
367796 4 5 0 0
367806 4 5 0 0
367816 4 5 0 0
367826 4 5 0 0
367836 4 5 0 0
367846 4 5 0 0
367856 4 5 0 0
367866 4 5 0 0
367876 4 5 0 0
367886 4 5 0 0
367896 4 5 0 0
367906 4 5 0 0
367916 4 5 0 0
367926 4 5 0 0
367936 4 5 0 0
367946 4 5 0 0
367956 4 5 0 0
367967 4 5 0 0
367977 4 5 0 0
367987 4 5 0 0
367997 4 5 0 0
368007 4 5 0 0
368016 4 5 0 0
368026 4 5 0 0
368036 4 5 0 0
368046 4 5 0 0
368056 4 5 0 0
368066 4 5 0 0
368076 4 5 0 0
368086 4 5 0 0
368096 4 5 0 0
368106 4 5 0 0
368116 4 5 0 0
368126 4 5 0 0
368136 4 5 0 0
368146 4 5 0 0
368156 4 5 0 0
368166 4 5 0 0
368176 4 5 0 0
368186 4 5 0 0
368196 4 5 0 0
368206 4 5 0 0
368216 4 5 0 0
368226 4 5 0 0
368236 4 5 0 0
368246 4 5 0 0
368256 4 5 0 0
368266 4 5 0 0
368276 4 5 0 0
368286 4 5 0 0
368296 4 5 0 0
368306 4 5 0 0
368316 4 5 0 0
368326 4 5 0 0
368336 4 5 0 0
368346 4 5 0 0
368356 4 5 0 0
368366 4 5 0 0
368376 4 5 0 0
368386 4 5 0 0
368396 4 5 0 0
368406 4 5 0 0
368416 4 5 0 0
368426 4 5 0 0
368436 4 5 0 0
368446 4 5 0 0
368456 4 5 0 0
368466 4 5 0 0
368476 4 5 0 0
368486 4 5 0 0
368496 4 5 0 0
368506 4 5 0 0
368516 4 5 0 0
368526 4 5 0 0
368536 4 5 0 0
368546 4 5 0 0
368556 4 5 0 0
368566 4 5 0 0
368576 4 5 0 0
368586 4 5 0 0
368596 4 5 0 0
368606 4 5 0 0
368616 4 5 0 0
368626 4 5 0 0
368636 4 5 0 0
368646 4 5 0 0
368656 4 5 0 0
368666 4 5 0 0
368676 4 5 0 0
368686 4 5 0 0
368696 4 5 0 0
368706 4 5 0 0
368716 4 5 0 0
368726 4 5 0 0
368736 4 5 0 0
368746 4 5 0 0
