t_f px py fd
365696 -679 657 274
365706 -679 657 268
365716 -679 657 274
365726 -679 657 279
365736 -679 657 277
365746 -679 657 279
365756 -679 657 276
365766 -679 657 277
365776 -679 657 274
365786 -679 657 281
365796 -679 657 274
365806 -679 657 276
365816 -679 657 271
365826 -679 657 273
365836 -679 657 272
365846 -679 657 279
365856 -679 657 283
365866 -679 657 275
365876 -679 657 275
365886 -679 657 275
365896 -679 657 271
365906 -679 657 276
365916 -679 657 279
365926 -679 657 279
365936 -679 657 279
365946 -679 657 272
365956 -679 657 272
365966 -679 657 262
365976 -679 657 276
365986 -679 657 277
365996 -679 657 275
366006 -679 657 272
366016 -679 657 279
366026 -679 657 283
366036 -679 657 272
366046 -679 657 273
366056 -679 657 272
366066 -679 657 279
366076 -679 657 276
366086 -679 657 279
366096 -679 657 277
366106 -679 657 279
366116 -679 657 275
366126 -679 657 281
366136 -679 657 279
366146 -679 657 273
366156 -679 657 272
366166 -679 657 274
366176 -679 657 279
366186 -679 657 273
366196 -679 657 279
366206 -679 657 275
366216 -679 657 270
366226 -679 657 279
366236 -679 657 279
366246 -679 657 279
366256 -679 657 271
366266 -679 657 268
366276 -679 657 277
366286 -679 657 274
366296 -679 657 275
366306 -679 657 271
366316 -679 657 273
366326 -679 657 269
366336 -679 657 272
366346 -679 657 278
366357 -679 657 270
366367 -679 657 273
366377 -679 657 273
366387 -679 657 275
366397 -679 657 268
366407 -679 657 276
366416 -679 657 269
366426 -679 657 274
366436 -679 657 273
366446 -679 657 280
366456 -679 657 276
366466 -679 657 273
366476 -679 657 271
366486 -679 657 274
366496 -679 657 275
366506 -679 657 275
366516 -679 657 264
366526 -679 657 276
366536 -679 657 275
366546 -679 657 281
366556 -679 657 272
366566 -679 657 270
366576 -679 657 274
366586 -679 657 270
366596 -679 657 268
366606 -679 657 268
366616 -679 657 270
366626 -679 657 275
366636 -679 657 273
366646 -679 657 271
366656 -679 657 270
366666 -679 657 284
366676 -679 657 269
366686 -679 657 269
366696 -679 657 270
366706 -679 657 279
366716 -679 657 278
366726 -679 657 265
366736 -679 657 266
366746 -679 657 277
366756 -679 657 272
366766 -679 657 276
366776 -679 657 275
366786 -679 657 272
366796 -679 657 275
366806 -679 657 275
366816 -679 657 276
366826 -679 657 268
366836 -679 657 273
366846 -679 657 274
366856 -679 657 272
366866 -679 657 277
366876 -679 657 270
366886 -679 657 272
366896 -679 657 278
366906 -679 657 272
366916 -679 657 270
366926 -679 657 277
366936 -679 657 272
366946 -679 657 272
366956 -679 657 284
366966 -679 657 282
366976 -679 657 276
366986 -679 657 265
366996 -679 657 277
367006 -679 657 274
367016 -679 657 267
367026 -679 657 267
367036 -679 657 273
367046 -679 657 276
367056 -679 657 282
367066 -679 657 273
367076 -679 657 281
367086 -679 657 279
367096 -679 657 273
367106 -679 657 270
367116 -679 657 284
367126 -679 657 269
367136 -679 657 272
367146 -679 657 275
367156 -679 657 277
367166 -679 657 272
367176 -679 657 274
367186 -679 657 275
367196 -679 657 282
367206 -679 657 276
367216 -679 657 272
367226 -679 657 274
367236 -679 657 279
367246 -679 657 278
367256 -679 657 280
367266 -679 657 277
367276 -679 657 271
367286 -679 657 281
367296 -679 657 273
367306 -679 657 268
367316 -679 657 279
367326 -679 657 275
367336 -679 657 278
367346 -679 657 275
367356 -679 657 279
367366 -679 657 275
367376 -679 657 271
367386 -679 657 278
367396 -679 657 278
367406 -679 657 278
367416 -679 657 276
367426 -679 657 284
367436 -679 657 271
367446 -679 657 276
367456 -679 657 275
367466 -679 657 276
367476 -679 657 271
367486 -679 657 273
367496 -679 657 273
367506 -679 657 276
367516 -679 657 276
367526 -679 657 268
367536 -679 657 273
367546 -679 657 275
367556 -679 657 269
367566 -679 657 267
367576 -679 657 275
367586 -679 657 278
367596 -679 657 281
367606 -679 657 272
367616 -679 657 271
367626 -679 657 278
367636 -679 657 274
367646 -679 657 272
367656 -679 657 277
367666 -679 657 275
367676 -679 657 274
367686 -679 657 275
367696 -679 657 275
367706 -679 657 277
367716 -679 657 274
367726 -679 657 276
367736 -679 657 274
