t pos_x pos_y free_degree
1874016 -2160 -67050 209
1874026 -2160 -67050 213
1874036 -2160 -67050 219
1874046 -2160 -67050 222
1874056 -2160 -67050 215
1874066 -2160 -67050 214
1874076 -2160 -67050 219
1874086 -2160 -67050 211
1874096 -2160 -67050 214
1874107 -2160 -67050 223
1874117 -2160 -67050 218
1874127 -2160 -67050 215
1874137 -2160 -67050 217
1874147 -2160 -67050 219
1874157 -2160 -67050 220
1874167 -2160 -67050 216
1874177 -2160 -67050 214
1874186 -2160 -67050 210
1874196 -2160 -67050 214
1874206 -2160 -67050 219
1874216 -2160 -67050 218
1874226 -2160 -67050 217
1874236 -2160 -67050 217
1874246 -2160 -67050 214
1874256 -2160 -67050 218
1874266 -2160 -67050 213
1874276 -2160 -67050 219
1874286 -2160 -67050 221
1874296 -2160 -67050 218
1874306 -2160 -67050 215
1874316 -2160 -67050 215
1874326 -2160 -67050 215
1874336 -2160 -67050 220
1874346 -2160 -67050 220
1874356 -2160 -67050 217
1874366 -2160 -67050 217
1874376 -2160 -67050 219
1874386 -2160 -67050 215
1874396 -2160 -67050 215
1874406 -2160 -67050 212
1874416 -2160 -67050 214
1874426 -2160 -67050 216
1874436 -2160 -67050 212
1874446 -2160 -67050 213
1874456 -2160 -67050 217
1874466 -2160 -67050 214
1874476 -2160 -67050 218
1874486 -2160 -67050 216
1874496 -2160 -67050 214
1874506 -2160 -67050 214
1874516 -2160 -67050 216
1874526 -2160 -67050 220
1874536 -2160 -67050 218
1874546 -2160 -67050 216
1874556 -2160 -67050 208
1874566 -2160 -67050 216
1874576 -2160 -67050 215
1874586 -2160 -67050 212
1874596 -2160 -67050 221
1874606 -2160 -67050 216
1874616 -2160 -67050 214
1874626 -2160 -67050 215
1874636 -2160 -67050 217
1874646 -2160 -67050 219
1874656 -2160 -67050 209
1874666 -2160 -67050 218
1874676 -2160 -67050 216
1874686 -2160 -67050 216
1874696 -2160 -67050 212
1874706 -2160 -67050 215
1874716 -2160 -67050 211
1874726 -2160 -67050 213
1874736 -2160 -67050 227
1874746 -2160 -67050 213
1874756 -2160 -67050 214
1874766 -2160 -67050 221
1874776 -2160 -67050 212
1874786 -2160 -67050 222
1874796 -2160 -67050 215
1874806 -2160 -67050 214
1874816 -2160 -67050 214
1874826 -2160 -67050 219
1874836 -2160 -67050 216
1874846 -2160 -67050 218
1874856 -2160 -67050 215
1874866 -2160 -67050 223
1874876 -2160 -67050 218
1874886 -2160 -67050 215
1874896 -2160 -67050 218
1874906 -2160 -67050 218
1874916 -2160 -67050 213
1874926 -2160 -67050 216
1874936 -2160 -67050 212
1874946 -2160 -67050 212
1874956 -2160 -67050 211
1874966 -2160 -67050 214
1874976 -2160 -67050 220
1874986 -2160 -67050 217
1874996 -2160 -67050 218
1875006 -2160 -67050 212
1875016 -2160 -67050 221
1875026 -2160 -67050 218
1875036 -2160 -67050 210
1875046 -2160 -67050 209
1875056 -2160 -67050 210
1875066 -2160 -67050 206
1875076 -2160 -67050 215
1875086 -2160 -67050 214
1875096 -2160 -67050 218
1875106 -2160 -67050 213
1875116 -2160 -67050 213
1875126 -2160 -67050 218
1875136 -2160 -67050 217
1875146 -2160 -67050 217
1875156 -2160 -67050 213
1875166 -2160 -67050 216
1875176 -2160 -67050 216
1875186 -2160 -67050 213
1875196 -2160 -67050 215
1875206 -2160 -67050 215
1875216 -2160 -67050 215
1875226 -2160 -67050 209
1875236 -2160 -67050 215
1875246 -2160 -67050 222
1875256 -2160 -67050 220
1875266 -2160 -67050 218
1875276 -2160 -67050 211
1875286 -2160 -67050 224
1875296 -2160 -67050 211
1875306 -2160 -67050 213
1875316 -2160 -67050 219
1875326 -2160 -67050 217
1875336 -2160 -67050 213
1875346 -2160 -67050 214
1875356 -2160 -67050 214
1875366 -2160 -67050 214
1875376 -2160 -67050 212
1875386 -2160 -67050 220
1875396 -2160 -67050 211
1875406 -2160 -67050 210
1875416 -2160 -67050 218
1875426 -2160 -67050 218
1875436 -2160 -67050 217
1875446 -2160 -67050 218
1875456 -2160 -67050 219
1875466 -2160 -67050 212
1875476 -2160 -67050 208
1875486 -2160 -67050 220
1875496 -2160 -67050 216
1875506 -2160 -67050 216
1875516 -2160 -67050 216
1875526 -2160 -67050 221
1875536 -2160 -67050 221
1875546 -2160 -67050 216
1875556 -2160 -67050 222
1875566 -2160 -67050 210
1875576 -2160 -67050 223
1875586 -2160 -67050 212
1875596 -2160 -67050 216
1875606 -2160 -67050 214
1875616 -2160 -67050 216
1875626 -2160 -67050 210
1875636 -2160 -67050 210
1875646 -2160 -67050 219
1875656 -2160 -67050 216
1875666 -2160 -67050 216
1875676 -2160 -67050 214
1875686 -2160 -67050 216
1875696 -2160 -67050 218
1875706 -2160 -67050 212
1875716 -2160 -67050 221
1875726 -2160 -67050 222
1875736 -2160 -67050 212
1875746 -2160 -67050 218
1875756 -2160 -67050 218
1875766 -2160 -67050 217
1875776 -2160 -67050 224
1875786 -2160 -67050 214
1875796 -2160 -67050 216
1875806 -2160 -67050 217
1875816 -2160 -67050 214
1875826 -2160 -67050 220
1875836 -2160 -67050 214
1875846 -2160 -67050 219
1875856 -2160 -67050 220
1875866 -2160 -67050 219
1875876 -2160 -67050 215
1875886 -2160 -67050 225
1875896 -2160 -67050 221
1875906 -2160 -67050 217
1875916 -2160 -67050 221
1875926 -2160 -67050 206
1875936 -2160 -67050 219
1875946 -2160 -67050 211
1875956 -2160 -67050 215
1875966 -2160 -67050 218
1875976 -2160 -67050 218
1875986 -2160 -67050 213
1875996 -2160 -67050 221
1876006 -2160 -67050 217
1876016 -2160 -67050 213
1876026 -2160 -67050 213
1876036 -2160 -67050 216
1876046 -2160 -67050 208
1876056 -2160 -67050 213
1876066 -2160 -67050 211
1876076 -2160 -67050 213
1876086 -2160 -67050 213
1876096 -2160 -67050 215
1876106 -2160 -67050 221
1876116 -2160 -67050 212
1876126 -2160 -67050 216
1876136 -2160 -67050 222
1876147 -2160 -67050 220
1876157 -2160 -67050 218
1876167 -2160 -67050 217
1876177 -2160 -67050 217
1876187 -2160 -67050 217
1876197 -2160 -67050 213
1876207 -2160 -67050 215
1876216 -2160 -67050 214
1876226 -2160 -67050 212
1876236 -2160 -67050 220
1876246 -2160 -67050 212
1876256 -2160 -67050 218
1876266 -2160 -67050 215
1876276 -2160 -67050 214
1876286 -2160 -67050 220
1876296 -2160 -67050 215
1876306 -2160 -67050 209
1876316 -2160 -67050 212
1876326 -2160 -67050 217
1876336 -2160 -67050 223
1876346 -2160 -67050 212
1876356 -2160 -67050 222
1876366 -2160 -67050 216
1876376 -2160 -67050 212
1876386 -2160 -67050 202
1876396 -2160 -67050 216
1876406 -2160 -67050 215
1876416 -2160 -67050 216
1876426 -2160 -67050 217
1876436 -2160 -67050 215
1876446 -2160 -67050 213
1876456 -2160 -67050 213
1876466 -2160 -67050 228
1876476 -2160 -67050 219
1876486 -2160 -67050 213
1876496 -2160 -67050 221
1876506 -2160 -67050 217
1876516 -2160 -67050 220
1876526 -2160 -67050 214
1876536 -2160 -67050 215
1876546 -2160 -67050 220
1876556 -2160 -67050 215
1876566 -2160 -67050 215
1876576 -2160 -67050 213
1876586 -2160 -67050 217
1876596 -2160 -67050 215
1876606 -2160 -67050 218
1876616 -2160 -67050 218
1876626 -2160 -67050 208
1876636 -2160 -67050 211
1876646 -2160 -67050 213
1876656 -2160 -67050 215
1876666 -2160 -67050 221
1876676 -2160 -67050 216
1876686 -2160 -67050 211
1876696 -2160 -67050 217
1876706 -2160 -67050 219
1876716 -2160 -67050 221
1876726 -2160 -67050 215
1876736 -2160 -67050 218
1876746 -2160 -67050 211
1876756 -2160 -67050 215
1876766 -2160 -67050 213
1876776 -2160 -67050 212
1876786 -2160 -67050 214
1876796 -2160 -67050 218
1876806 -2160 -67050 218
1876816 -2160 -67050 220
1876826 -2160 -67050 215
1876836 -2160 -67050 211
1876846 -2160 -67050 215
1876856 -2160 -67050 213
1876866 -2160 -67050 216
1876876 -2160 -67050 212
1876886 -2160 -67050 220
1876896 -2160 -67050 220
1876906 -2160 -67050 213
1876916 -2160 -67050 217
1876926 -2160 -67050 219
1876936 -2160 -67050 216
1876946 -2160 -67050 213
1876956 -2160 -67050 222
1876966 -2160 -67050 220
1876976 -2160 -67050 212
1876986 -2160 -67050 212
1876996 -2160 -67050 210
1877006 -2160 -67050 219
1877016 -2160 -67050 215
1877026 -2160 -67050 213
1877036 -2160 -67050 217
1877046 -2160 -67050 210
1877056 -2160 -67050 214
1877066 -2160 -67050 215
1877076 -2160 -67050 215
1877086 -2160 -67050 217
1877096 -2160 -67050 215
1877106 -2160 -67050 214
1877116 -2160 -67050 213
1877126 -2160 -67050 212
1877136 -2160 -67050 212
1877146 -2160 -67050 208
1877156 -2160 -67050 215
1877166 -2160 -67050 214
1877176 -2160 -67050 218
1877186 -2160 -67050 216
1877196 -2160 -67050 212
1877206 -2160 -67050 216
1877216 -2160 -67050 219
1877226 -2160 -67050 214
1877236 -2160 -67050 209
1877246 -2160 -67050 212
1877256 -2160 -67050 206
1877266 -2160 -67050 210
1877276 -2160 -67050 218
1877286 -2160 -67050 210
1877296 -2160 -67050 214
1877306 -2160 -67050 215
1877316 -2160 -67050 211
1877326 -2160 -67050 214
1877336 -2160 -67050 212
1877346 -2160 -67050 218
1877356 -2160 -67050 216
1877366 -2160 -67050 215
1877376 -2160 -67050 211
1877386 -2160 -67050 213
1877396 -2160 -67050 213
1877406 -2160 -67050 209
1877416 -2160 -67050 217
1877426 -2160 -67050 212
1877436 -2160 -67050 216
1877446 -2160 -67050 216
1877456 -2160 -67050 213
1877466 -2160 -67050 212
1877476 -2160 -67050 214
1877486 -2160 -67050 214
1877496 -2160 -67050 218
1877506 -2160 -67050 210
1877516 -2160 -67050 215
1877526 -2160 -67050 215
1877536 -2160 -67050 210
1877546 -2160 -67050 214
1877556 -2160 -67050 217
1877566 -2160 -67050 216
1877576 -2160 -67050 217
1877586 -2160 -67050 212
1877596 -2160 -67050 212
1877606 -2160 -67050 212
1877616 -2160 -67050 214
1877626 -2160 -67050 218
1877636 -2160 -67050 210
1877646 -2160 -67050 207
1877656 -2160 -67050 207
1877666 -2160 -67050 218
1877676 -2160 -67050 209
1877686 -2160 -67050 210
1877696 -2160 -67050 213
1877706 -2160 -67050 220
1877716 -2160 -67050 215
1877726 -2160 -67050 214
1877736 -2160 -67050 208
1877746 -2160 -67050 223
1877756 -2160 -67050 208
1877766 -2160 -67050 210
1877776 -2160 -67050 215
1877786 -2160 -67050 218
1877796 -2160 -67050 215
1877806 -2160 -67050 212
1877816 -2160 -67050 215
1877826 -2160 -67050 222
1877836 -2160 -67050 209
1877846 -2160 -67050 209
1877856 -2160 -67050 206
1877866 -2160 -67050 216
1877876 -2160 -67050 213
1877886 -2160 -67050 213
1877896 -2160 -67050 211
1877906 -2160 -67050 216
1877916 -2160 -67050 213
1877926 -2160 -67050 212
1877936 -2160 -67050 217
1877946 -2160 -67050 216
1877956 -2160 -67050 209
1877966 -2160 -67050 209
1877976 -2160 -67050 215
1877986 -2160 -67050 209
1877996 -2160 -67050 211
1878006 -2160 -67050 214
1878016 -2160 -67050 211
1878026 -2160 -67050 214
1878036 -2160 -67050 210
1878046 -2160 -67050 207
1878056 -2160 -67050 210
1878066 -2160 -67050 215
1878076 -2160 -67050 213
1878086 -2160 -67050 214
1878096 -2160 -67050 206
1878106 -2160 -67050 209
1878116 -2160 -67050 210
1878126 -2160 -67050 209
1878136 -2160 -67050 216
1878146 -2160 -67050 216
1878157 -2160 -67050 208
1878167 -2160 -67050 212
1878177 -2160 -67050 214
1878187 -2160 -67050 213
1878197 -2160 -67050 213
1878207 -2160 -67050 208
1878217 -2160 -67050 208
1878226 -2160 -67050 218
1878236 -2160 -67050 211
1878246 -2160 -67050 212
1878256 -2160 -67050 207
1878266 -2160 -67050 211
1878276 -2160 -67050 212
1878286 -2160 -67050 209
1878296 -2160 -67050 207
1878306 -2160 -67050 213
1878316 -2160 -67050 210
1878326 -2160 -67050 218
1878336 -2160 -67050 215
1878346 -2160 -67050 212
1878356 -2160 -67050 209
1878366 -2160 -67050 207
1878376 -2160 -67050 207
1878386 -2160 -67050 214
1878396 -2160 -67050 207
1878406 -2160 -67050 214
1878416 -2160 -67050 215
1878426 -2160 -67050 203
1878436 -2160 -67050 216
1878446 -2160 -67050 209
1878456 -2160 -67050 213
1878466 -2160 -67050 206
1878476 -2160 -67050 210
1878486 -2160 -67050 213
1878496 -2160 -67050 212
1878506 -2160 -67050 210
1878516 -2160 -67050 216
1878526 -2160 -67050 209
1878536 -2160 -67050 208
1878546 -2160 -67050 215
1878556 -2160 -67050 215
1878566 -2160 -67050 213
1878576 -2160 -67050 212
1878586 -2160 -67050 213
1878596 -2160 -67050 206
1878606 -2160 -67050 222
1878616 -2160 -67050 212
1878626 -2160 -67050 217
1878636 -2160 -67050 208
1878646 -2160 -67050 208
1878656 -2160 -67050 210
1878666 -2160 -67050 211
1878676 -2160 -67050 211
1878686 -2160 -67050 211
1878696 -2160 -67050 206
1878706 -2160 -67050 209
1878716 -2160 -67050 211
1878726 -2160 -67050 209
1878736 -2160 -67050 214
1878746 -2160 -67050 210
1878756 -2160 -67050 212
1878766 -2160 -67050 204
1878776 -2160 -67050 204
1878786 -2160 -67050 211
1878796 -2160 -67050 215
1878806 -2160 -67050 213
