t right_dis left_dis right_v left_v
1874016 7143 6391 0 0
1874026 7143 6391 0 0
1874036 7143 6391 0 0
1874046 7143 6391 0 0
1874056 7143 6391 0 0
1874066 7143 6391 0 0
1874076 7143 6391 0 0
1874086 7143 6391 0 0
1874096 7143 6391 0 0
1874107 7143 6391 0 0
1874117 7143 6391 0 0
1874127 7143 6391 0 0
1874137 7143 6391 0 0
1874147 7143 6391 0 0
1874157 7143 6391 0 0
1874167 7143 6391 0 0
1874177 7143 6391 0 0
1874186 7143 6391 0 0
1874196 7143 6391 0 0
1874206 7143 6391 0 0
1874216 7143 6391 0 0
1874226 7143 6391 0 0
1874236 7143 6391 0 0
1874246 7143 6391 0 0
1874256 7143 6391 0 0
1874266 7143 6391 0 0
1874276 7143 6391 0 0
1874286 7143 6391 0 0
1874296 7143 6391 0 0
1874306 7143 6391 0 0
1874316 7143 6391 0 0
1874326 7143 6391 0 0
1874336 7143 6391 0 0
1874346 7143 6391 0 0
1874356 7143 6391 0 0
1874366 7143 6391 0 0
1874376 7143 6391 0 0
1874386 7143 6391 0 0
1874396 7143 6391 0 0
1874406 7143 6391 0 0
1874416 7143 6391 0 0
1874426 7143 6391 0 0
1874436 7143 6391 0 0
1874446 7143 6391 0 0
1874456 7143 6391 0 0
1874466 7143 6391 0 0
1874476 7143 6391 0 0
1874486 7143 6391 0 0
1874496 7143 6391 0 0
1874506 7143 6391 0 0
1874516 7143 6391 0 0
1874526 7143 6391 0 0
1874536 7143 6391 0 0
1874546 7143 6391 0 0
1874556 7143 6391 0 0
1874566 7143 6391 0 0
1874576 7143 6391 0 0
1874586 7143 6391 0 0
1874596 7143 6391 0 0
1874606 7143 6391 0 0
1874616 7143 6391 0 0
1874626 7143 6391 0 0
1874636 7143 6391 0 0
1874646 7143 6391 0 0
1874656 7143 6391 0 0
1874666 7143 6391 0 0
1874676 7143 6391 0 0
1874686 7143 6391 0 0
1874696 7143 6391 0 0
1874706 7143 6391 0 0
1874716 7143 6391 0 0
1874726 7143 6391 0 0
1874736 7143 6391 0 0
1874746 7143 6391 0 0
1874756 7143 6391 0 0
1874766 7143 6391 0 0
1874776 7143 6391 0 0
1874786 7143 6391 0 0
1874796 7143 6391 0 0
1874806 7143 6391 0 0
1874816 7143 6391 0 0
1874826 7143 6391 0 0
1874836 7143 6391 0 0
1874846 7143 6391 0 0
1874856 7143 6391 0 0
1874866 7143 6391 0 0
1874876 7143 6391 0 0
1874886 7143 6391 0 0
1874896 7143 6391 0 0
1874906 7143 6391 0 0
1874916 7143 6391 0 0
1874926 7143 6391 0 0
1874936 7143 6391 0 0
1874946 7143 6391 0 0
1874956 7143 6391 0 0
1874966 7143 6391 0 0
1874976 7143 6391 0 0
1874986 7143 6391 0 0
1874996 7143 6391 0 0
1875006 7143 6391 0 0
1875016 7143 6391 0 0
1875026 7143 6391 0 0
1875036 7143 6391 0 0
1875046 7143 6391 0 0
1875056 7143 6391 0 0
1875066 7143 6391 0 0
1875076 7143 6391 0 0
1875086 7143 6391 0 0
1875096 7143 6391 0 0
1875106 7143 6391 0 0
1875116 7143 6391 0 0
1875126 7143 6391 0 0
1875136 7143 6391 0 0
1875146 7143 6391 0 0
1875156 7143 6391 0 0
1875166 7143 6391 0 0
1875176 7143 6391 0 0
1875186 7143 6391 0 0
1875196 7143 6391 0 0
1875206 7143 6391 0 0
1875216 7143 6391 0 0
1875226 7143 6391 0 0
1875236 7143 6391 0 0
1875246 7143 6391 0 0
1875256 7143 6391 0 0
1875266 7143 6391 0 0
1875276 7143 6391 0 0
1875286 7143 6391 0 0
1875296 7143 6391 0 0
1875306 7143 6391 0 0
1875316 7143 6391 0 0
1875326 7143 6391 0 0
1875336 7143 6391 0 0
1875346 7143 6391 0 0
1875356 7143 6391 0 0
1875366 7143 6391 0 0
1875376 7143 6391 0 0
1875386 7143 6391 0 0
1875396 7143 6391 0 0
1875406 7143 6391 0 0
1875416 7143 6391 0 0
1875426 7143 6391 0 0
1875436 7143 6391 0 0
1875446 7143 6391 0 0
1875456 7143 6391 0 0
1875466 7143 6391 0 0
1875476 7143 6391 0 0
1875486 7143 6391 0 0
1875496 7143 6391 0 0
1875506 7143 6391 0 0
1875516 7143 6391 0 0
1875526 7143 6391 0 0
1875536 7143 6391 0 0
1875546 7143 6391 0 0
1875556 7143 6391 0 0
1875566 7143 6391 0 0
1875576 7143 6391 0 0
1875586 7143 6391 0 0
1875596 7143 6391 0 0
1875606 7143 6391 0 0
1875616 7143 6391 0 0
1875626 7143 6391 0 0
1875636 7143 6391 0 0
1875646 7143 6391 0 0
1875656 7143 6391 0 0
1875666 7143 6391 0 0
1875676 7143 6391 0 0
1875686 7143 6391 0 0
1875696 7143 6391 0 0
1875706 7143 6391 0 0
1875716 7143 6391 0 0
1875726 7143 6391 0 0
1875736 7143 6391 0 0
1875746 7143 6391 0 0
1875756 7143 6391 0 0
1875766 7143 6391 0 0
1875776 7143 6391 0 0
1875786 7143 6391 0 0
1875796 7143 6391 0 0
1875806 7143 6391 0 0
1875816 7143 6391 0 0
1875826 7143 6391 0 0
1875836 7143 6391 0 0
1875846 7143 6391 0 0
1875856 7143 6391 0 0
1875866 7143 6391 0 0
1875876 7143 6391 0 0
1875886 7143 6391 0 0
1875896 7143 6391 0 0
1875906 7143 6391 0 0
1875916 7143 6391 0 0
1875926 7143 6391 0 0
1875936 7143 6391 0 0
1875946 7143 6391 0 0
1875956 7143 6391 0 0
1875966 7143 6391 0 0
1875976 7143 6391 0 0
1875986 7143 6391 0 0
1875996 7143 6391 0 0
1876006 7143 6391 0 0
1876016 7143 6391 0 0
1876026 7143 6391 0 0
1876036 7143 6391 0 0
1876046 7143 6391 0 0
1876056 7143 6391 0 0
1876066 7143 6391 0 0
1876076 7143 6391 0 0
1876086 7143 6391 0 0
1876096 7143 6391 0 0
1876106 7143 6391 0 0
1876116 7143 6391 0 0
1876126 7143 6391 0 0
1876136 7143 6391 0 0
1876147 7143 6391 0 0
1876157 7143 6391 0 0
1876167 7143 6391 0 0
1876177 7143 6391 0 0
1876187 7143 6391 0 0
1876197 7143 6391 0 0
1876207 7143 6391 0 0
1876216 7143 6391 0 0
1876226 7143 6391 0 0
1876236 7143 6391 0 0
1876246 7143 6391 0 0
1876256 7143 6391 0 0
1876266 7143 6391 0 0
1876276 7143 6391 0 0
1876286 7143 6391 0 0
1876296 7143 6391 0 0
1876306 7143 6391 0 0
1876316 7143 6391 0 0
1876326 7143 6391 0 0
1876336 7143 6391 0 0
1876346 7143 6391 0 0
1876356 7143 6391 0 0
1876366 7143 6391 0 0
1876376 7143 6391 0 0
1876386 7143 6391 0 0
1876396 7143 6391 0 0
1876406 7143 6391 0 0
1876416 7143 6391 0 0
1876426 7143 6391 0 0
1876436 7143 6391 0 0
1876446 7143 6391 0 0
1876456 7143 6391 0 0
1876466 7143 6391 0 0
1876476 7143 6391 0 0
1876486 7143 6391 0 0
1876496 7143 6391 0 0
1876506 7143 6391 0 0
1876516 7143 6391 0 0
1876526 7143 6391 0 0
1876536 7143 6391 0 0
1876546 7143 6391 0 0
1876556 7143 6391 0 0
1876566 7143 6391 0 0
1876576 7143 6391 0 0
1876586 7143 6391 0 0
1876596 7143 6391 0 0
1876606 7143 6391 0 0
1876616 7143 6391 0 0
1876626 7143 6391 0 0
1876636 7143 6391 0 0
1876646 7143 6391 0 0
1876656 7143 6391 0 0
1876666 7143 6391 0 0
1876676 7143 6391 0 0
1876686 7143 6391 0 0
1876696 7143 6391 0 0
1876706 7143 6391 0 0
1876716 7143 6391 0 0
1876726 7143 6391 0 0
1876736 7143 6391 0 0
1876746 7143 6391 0 0
1876756 7143 6391 0 0
1876766 7143 6391 0 0
1876776 7143 6391 0 0
1876786 7143 6391 0 0
1876796 7143 6391 0 0
1876806 7143 6391 0 0
1876816 7143 6391 0 0
1876826 7143 6391 0 0
1876836 7143 6391 0 0
1876846 7143 6391 0 0
1876856 7143 6391 0 0
1876866 7143 6391 0 0
1876876 7143 6391 0 0
1876886 7143 6391 0 0
1876896 7143 6391 0 0
1876906 7143 6391 0 0
1876916 7143 6391 0 0
1876926 7143 6391 0 0
1876936 7143 6391 0 0
1876946 7143 6391 0 0
1876956 7143 6391 0 0
1876966 7143 6391 0 0
1876976 7143 6391 0 0
1876986 7143 6391 0 0
1876996 7143 6391 0 0
1877006 7143 6391 0 0
1877016 7143 6391 0 0
1877026 7143 6391 0 0
