t_imu ax ay az gx gy gz
14.476 -0.0610521 0.0502782 9.86172 0.106812 0.144959 0.12207
14.486 -0.0826 0.0843956 9.88686 0.137329 -0.0839234 0.0839234
14.496 -0.0637456 0.0520739 9.8689 0.0457764 -0.137329 0.12207
14.506 -0.071826 0.0439935 9.85633 -0.0839234 0.396729 0.0305176
14.516 -0.0709282 0.0502782 9.8698 0.0686646 0.0152588 0.1297
14.526 -0.056563 0.0520739 9.86531 0.076294 -0.144959 0.0686646
14.536 -0.0646434 0.0547674 9.87339 0.0457764 -0.160217 -0.0610352
14.546 -0.0448913 0.0700304 9.89224 0.038147 -0.0305176 0.038147
14.556 -0.056563 0.0556652 9.84466 0.076294 -0.106812 0.0457764
14.566 -0.0691326 0.0529717 9.86441 0.0991822 -0.0228882 0.0610352
14.576 -0.0691326 0.0377087 9.85902 0.076294 0.144959 0.0839234
14.586 -0.0511761 0.0538695 9.8689 0.114441 0.114441 0.167847
14.596 -0.0323217 0.0350152 9.86621 0.0839234 -0.0305176 0.0228882
14.606 -0.0404022 0.0601543 9.83299 -0.0152588 -0.0305176 0.076294
14.616 -0.056563 0.0448913 9.85274 0.114441 0.0534058 -0.0610352
14.626 -0.0520739 0.0466869 9.86172 -0.0915528 0.0991822 0.0839234
14.636 -0.0430956 0.0601543 9.85723 -0.0305176 0.0610352 0.12207
14.646 -0.0592565 0.0314239 9.86441 -0.0305176 -0.160217 -0.076294
14.656 -0.0646434 0.0296282 9.88865 0.0152588 -0.0610352 0.144959
14.666 -0.0628478 0.0538695 9.87698 0.0686646 -0.0228882 0.167847
14.676 -0.06195 0.0269348 9.86441 0.0076294 0.0610352 0.0305176
14.686 -0.0413 0.0350152 9.85992 0.0839234 -0.0686646 0.175476
14.696 -0.0511761 0.0673369 9.85274 -0.0076294 0.0228882 0.12207
14.706 -0.0404022 0.0529717 9.89314 0.152588 -0.0839234 0.076294
14.716 -0.0413 0.0538695 9.87159 -0.0457764 -0.0610352 -0.0152588
14.726 -0.0673369 0.0529717 9.84196 0.137329 -0.0991822 0.137329
14.736 -0.0538695 0.0583587 9.86441 0.0457764 0.0076294 0.076294
14.746 -0.0556652 0.0395043 9.89494 0.0610352 0.0305176 0.198364
14.756 -0.0664391 0.0448913 9.86531 -0.0076294 -0.0534058 0.228882
14.766 -0.0350152 0.0538695 9.88955 -0.0228882 0.038147 0.152588
14.776 -0.0511761 0.0332195 9.85813 0.152588 -0.0152588 0.0534058
14.786 -0.0502782 0.0404022 9.84466 -0.0534058 -0.0991822 0.137329
14.796 -0.0404022 0.0610521 9.89224 0.0610352 0.0228882 0.137329
14.806 -0.0493804 0.0628478 9.88686 0.106812 -0.076294 0.0686646
14.816 -0.0520739 0.0377087 9.83658 0.0152588 0.0076294 0.137329
14.826 -0.0466869 0.0493804 9.85992 0.038147 0.114441 0.114441
14.836 -0.0395043 0.0448913 9.87698 0.0534058 0.12207 0.0610352
14.846 -0.0529717 0.0466869 9.85364 0.0534058 0.12207 0.0610352
14.856 -0.0583587 0.0493804 9.85005 0.0839234 -0.038147 0.160217
14.866 -0.071826 0.0341174 9.83478 0.0457764 -0.0915528 0.160217
14.876 -0.0448913 0.0386065 9.86351 -0.038147 -0.305176 0.0915528
14.886 -0.0430956 0.0430956 9.868 0.0152588 0.0305176 0.0839234
14.896 -0.0386065 0.056563 9.87518 -0.0839234 0.0534058 0.0610352
14.906 -0.0610521 0.0278326 9.87698 0.1297 0.038147 0.0305176
14.916 -0.0700304 0.0341174 9.86172 0.0152588 -0.1297 0.1297
14.926 -0.0601543 0.035913 9.84915 0.0305176 0.205994 0.0915528
14.936 -0.0332195 0.0296282 9.84735 0.106812 0.106812 0.114441
14.946 -0.0763152 0.0368109 9.85005 0.0152588 -0.0534058 0.1297
14.956 -0.0745195 0.0502782 9.8698 -0.0152588 -0.0152588 0.137329
14.966 -0.0511761 0.0314239 9.87967 0.038147 -0.160217 0.1297
14.976 -0.0556652 0.0224456 9.85902 0.0915528 -0.114441 0.114441
14.986 -0.0790087 0.0332195 9.87698 -0.0305176 -0.190735 0.0610352
14.996 -0.0601543 0.0404022 9.88237 -0.0152588 -0.0915528 0.213623
15.006 -0.0314239 0.0520739 9.85274 0.0305176 -0.0991822 0.0686646
15.016 -0.0610521 0.0538695 9.84286 -0.0076294 -0.076294 0.114441
15.026 -0.0610521 0.056563 9.85364 -0.0915528 -0.038147 0.1297
15.036 -0.0906804 0.0637456 9.86531 0.12207 0.0228882 0.175476
15.046 -0.0646434 0.0421978 9.85005 0.0534058 -0.0686646 0.0686646
15.056 -0.0583587 0.0251391 9.84286 -0.0076294 -0.152588 0.114441
15.066 -0.0673369 0.0529717 9.85813 -0.0915528 0.0610352 0.0915528
15.076 -0.0583587 0.0448913 9.87518 -0.0305176 -0.144959 0.114441
15.086 -0.0457891 0.0305261 9.85992 0.106812 -0.190735 0.198364
15.096 -0.0754174 0.0664391 9.84286 0.076294 -0.198364 0.183106
