16.567 -0.667084 0.0556652 9.86621 2.34223 1.14441 3.00598
14.37 -0.687734 0.18585 9.80246 3.28827 0.839234 3.63159
14.38 -0.703895 0.236128 9.83927 3.22724 0.862122 4.26483
14.39 -0.704793 0.230741 9.80605 2.69318 0.701905 5.1117
14.4 -0.706589 0.224456 9.80156 2.26593 0.869752 5.8899
14.41 -0.746991 0.224456 9.83837 1.86157 1.4801 7.03431
14.42 -0.676961 0.122104 9.85274 1.41144 1.83106 8.27027
14.43 -0.641047 0.0574608 9.80785 1.28174 1.66321 9.35364
14.44 -0.638354 0.0242413 9.9084 1.65558 1.32752 9.80378
14.45 -0.526126 -0.0538695 9.87608 1.95313 0.587464 10.025
14.46 -0.477643 -0.114922 9.79797 2.04468 -0.160217 9.73511
14.47 -0.500089 -0.0395043 9.87339 1.46484 -0.679017 8.82722
14.48 -0.512658 0.0260369 9.83299 0.854493 -1.18256 7.82776
14.49 -0.536002 0.0861913 9.83209 0.389099 -1.40381 6.85883
14.5 -0.532411 0.136469 9.84825 -0.534058 -1.74713 5.79834
14.51 -0.561141 0.154426 9.83209 -1.69373 -2.80762 4.82941
14.52 -0.5782 0.0556652 9.88326 -2.36511 -3.40271 3.72315
14.53 -0.573711 -0.0439935 9.85813 -2.40326 -4.31061 2.57111
14.54 -0.549469 -0.0260369 9.86531 -2.36511 -5.10407 0.823975
14.55 -0.459687 0.10325 9.83927 -2.31934 -5.75257 -0.88501
14.56 -0.442628 0.213683 9.77822 -3.04413 -6.5918 -2.5177
14.57 -0.494702 0.192135 9.81413 -4.47846 -7.02668 -3.2425
14.58 -0.51625 0.0170587 9.8285 -5.77546 -7.10297 -3.44849
14.59 -0.546776 -0.109535 9.86621 -6.78254 -6.87409 -3.37219
14.6 -0.562039 -0.133776 9.86082 -7.40815 -7.09534 -3.82996
14.61 -0.553061 -0.0745195 9.87698 -7.56074 -8.01087 -4.22669
14.62 -0.537798 -0.0763152 9.88147 -7.54548 -9.09424 -4.65393
14.63 -0.501885 -0.0502782 9.85094 -7.62177 -10.4599 -5.04303
14.64 -0.533308 0.0116717 9.90391 -7.55311 -11.5357 -5.46265
14.65 -0.506374 0.00897826 9.90032 -7.02668 -12.3978 -5.24903
14.66 -0.456095 -0.0987608 9.89135 -6.05011 -12.9547 -4.83704
